id,original_title,original_language,popularity,release_date,vote_average,vote_count
278,The Shawshank Redemption,en,175.424,1994-09-23,8.708,27369
238,The Godfather,en,183.785,1972-03-14,8.7,20779
240,The Godfather Part II,en,95.73,1974-12-20,8.572,12535
424,Schindler's List,en,81.745,1993-12-15,8.566,15952
389,12 Angry Men,en,54.19,1957-04-10,8.5,8742
129,千と千尋の神隠し,ja,102.2,2001-07-20,8.538,16611
19404,दिलवाले दुल्हनिया ले जायेंगे,hi,41.121,1995-10-20,8.522,4450
155,The Dark Knight,en,153.88,2008-07-16,8.5,33073
497,The Green Mile,en,113.156,1999-12-10,8.506,17569
496243,기생충,ko,90.309,2019-05-30,8.504,18402
680,Pulp Fiction,en,128.212,1994-09-10,8.488,28051
372058,君の名は。,ja,99.34,2016-08-26,8.5,11448
823219,Straume,lv,316.26,2024-08-29,8.5,446
122,The Lord of the Rings: The Return of the King,en,150.608,2003-12-17,8.483,24359
13,Forrest Gump,en,86.904,1994-06-23,8.47,27574
429,"Il buono, il brutto, il cattivo",it,75.168,1966-12-22,8.465,8683
346,七人の侍,ja,44.176,1954-04-26,8.5,3719
12477,火垂るの墓,ja,0.041,1988-04-16,8.456,5600
769,GoodFellas,en,75.042,1990-09-12,8.456,12950
11216,Nuovo Cinema Paradiso,it,53.119,1988-11-17,8.45,4395
637,La vita è bella,it,51.903,1997-12-20,8.449,13086
157336,Interstellar,en,258.255,2014-11-05,8.445,35889
550,Fight Club,en,92.393,1999-10-15,8.438,29564
667257,Cosas imposibles,es,10.674,2021-06-17,8.434,392
539,Psycho,en,44.613,1960-06-22,8.427,10104
598,Cidade de Deus,pt,50.308,2002-08-30,8.426,7420
40096,O Auto da Compadecida,pt,19.218,2000-09-15,8.4,1110
311,Once Upon a Time in America,en,43.796,1984-05-23,8.419,5420
120,The Lord of the Rings: The Fellowship of the Ring,en,170.906,2001-12-18,8.417,25319
510,One Flew Over the Cuckoo's Nest,en,44.414,1975-11-19,8.414,10493
696374,Gabriel's Inferno,en,14.659,2020-05-29,8.4,2414
14537,切腹,ja,25.087,1962-09-15,8.401,1010
704264,Primal: Tales of Savagery,en,12.078,2019-11-21,8.403,318
4935,ハウルの動く城,ja,86.26,2004-09-09,8.4,9962
121,The Lord of the Rings: The Two Towers,en,121.417,2002-12-18,8.4,21978
324857,Spider-Man: Into the Spider-Verse,en,104.563,2018-12-06,8.4,15715
1891,The Empire Strikes Back,en,40.97,1980-05-20,8.393,17011
724089,Gabriel's Inferno: Part II,en,9.888,2020-07-31,8.389,1515
372754,同級生,ja,19.873,2016-02-20,8.381,392
378064,映画 聲の形,ja,56.145,2016-09-17,8.384,3979
1184918,The Wild Robot,en,990.575,2024-09-08,8.379,3654
255709,소원,ko,22.264,2013-10-02,8.381,741
761053,Gabriel's Inferno: Part III,en,23.84,2020-11-19,8.4,1054
244786,Whiplash,en,85.771,2014-10-10,8.378,15193
423,The Pianist,en,54.319,2002-09-17,8.379,9212
620249,罗小黑战记,zh,23.423,2019-08-27,8.4,369
807,Se7en,en,81.788,1995-09-22,8.375,21115
27205,Inception,en,117.816,2010-07-15,8.37,36726
1058694,Radical,es,26.794,2023-10-19,8.4,423
569094,Spider-Man: Across the Spider-Verse,en,225.791,2023-05-31,8.4,7104
567,Rear Window,en,34.086,1954-08-01,8.352,6499
820067,映画 五等分の花嫁,ja,44.508,2022-05-20,8.3,390
274,The Silence of the Lambs,en,16.743,1991-02-14,8.347,16356
73,American History X,en,38.474,1998-07-01,8.3,11583
128,もののけ姫,ja,52.733,1997-07-12,8.3,8045
12493,天国と地獄,ja,20.661,1963-03-01,8.3,913
15804,牯嶺街少年殺人事件,zh,23.63,1991-07-27,8.3,324
1139087,Once Upon a Studio,en,33.398,2023-09-24,8.3,355
105,Back to the Future,en,65.046,1985-07-03,8.317,20014
10494,PERFECT BLUE,ja,34.891,1998-02-28,8.315,2678
207,Dead Poets Society,en,58.425,1989-06-02,8.309,11307
644479,Dedicada A Mi Ex,es,9.564,2019-11-01,8.3,502
3782,生きる,ja,25.631,1952-10-09,8.305,1142
599,Sunset Boulevard,en,21.373,1950-08-10,8.306,2595
101,Léon,fr,69.02,1994-09-14,8.306,14837
914,The Great Dictator,en,23.305,1940-10-15,8.305,3381
18491,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,ja,39.231,1997-07-19,8.296,1615
92321,蛍火の杜へ,ja,0.016,2011-09-17,8.297,1112
335,C'era una volta il West,it,43.868,1968-12-21,8.3,4361
3082,Modern Times,en,19.679,1936-02-05,8.288,3705
568332,Taylor Swift: Reputation Stadium Tour,en,12.092,2018-12-31,8.281,390
652837,ジョゼと虎と魚たち,ja,21.02,2020-12-25,8.3,471
901,City Lights,en,17.296,1931-02-06,8.275,2176
28,Apocalypse Now,en,50.344,1979-05-19,8.276,8250
77338,Intouchables,fr,98.617,2011-11-02,8.274,17269
1585,It's a Wonderful Life,en,131.044,1946-12-20,8.3,4352
995133,"The Boy, the Mole, the Fox and the Horse",en,37.54,2022-12-25,8.3,585
42269,C'eravamo tanto amati,it,10.659,1974-12-21,8.27,565
975,Paths of Glory,en,18.839,1957-10-25,8.265,2930
637920,7. Koğuştaki Mucize,tr,38.494,2019-10-10,8.262,4410
29259,Le Trou,fr,22.359,1960-03-18,8.262,478
10376,La leggenda del pianista sull'oceano,it,25.719,1998-10-28,8.3,2262
25237,Иди и смотри,ru,24.785,1985-10-17,8.256,1500
670,올드보이,ko,64.788,2003-11-21,8.258,8705
630566,Clouds,en,15.571,2020-10-09,8.3,1004
632632,映画 ギヴン,ja,19.121,2020-08-22,8.3,385
8587,The Lion King,en,218.559,1994-06-24,8.256,18353
447362,Life in a Year,en,42.486,2020-11-27,8.3,1877
1160164,TAYLOR SWIFT | THE ERAS TOUR,en,37.893,2023-10-13,8.254,417
299534,Avengers: Endgame,en,100.268,2019-04-24,8.247,25748
527641,Five Feet Apart,en,60.338,2019-03-14,8.246,5618
508965,Klaus,en,108.977,2019-11-08,8.243,4112
283566,シン・エヴァンゲリオン劇場版:||,ja,34.856,2021-03-08,8.243,817
490132,Green Book,en,65.238,2018-11-16,8.241,11640
299536,Avengers: Infinity War,en,167.025,2018-04-25,8.242,29883
533514,劇場版 ヴァイオレット・エヴァーガーデン,ja,29.655,2020-09-18,8.2,409
572154,青春ブタ野郎はゆめみる少女の夢を見ない,ja,26.131,2019-06-15,8.2,521
265177,Mommy,fr,17.994,2014-09-19,8.236,2714
504253,君の膵臓をたべたい,ja,35.687,2018-09-01,8.2,1556
441130,Wolfwalkers,en,27.426,2020-10-26,8.228,1193
110420,おおかみこどもの雨と雪,ja,31.666,2012-07-21,8.2,2289
654299,Como caído del cielo,es,10.141,2019-12-24,8.222,347
315162,Puss in Boots: The Last Wish,en,147.844,2022-12-07,8.221,7853
24188,Il sorpasso,it,11.47,1962-12-05,8.221,750
603,The Matrix,en,114.58,1999-03-31,8.22,25771
16869,Inglourious Basterds,en,72.878,2009-08-02,8.218,22307
857,Saving Private Ryan,en,58.17,1998-07-24,8.217,15885
98,Gladiator,en,444.195,2000-05-04,8.217,18981
618344,Justice League Dark: Apokolips War,en,28.042,2020-05-05,8.214,1459
290098,아가씨,ko,74.247,2016-06-01,8.215,3762
694,The Shining,en,70.239,1980-05-23,8.215,17533
37257,Witness for the Prosecution,en,20.644,1957-12-17,8.212,1412
635302,劇場版「鬼滅の刃」無限列車編,ja,110.822,2020-10-16,8.2,3965
50014,The Help,en,53.994,2011-08-09,8.21,8306
354912,Coco,en,106.955,2017-10-27,8.207,19573
16672,砂の女,ja,26.971,1964-02-15,8.208,449
1124,The Prestige,en,63.207,2006-10-17,8.2,16087
11324,Shutter Island,en,75.909,2010-02-14,8.203,24031
11,Star Wars,en,112.038,1977-05-25,8.203,20693
476292,さよならの朝に約束の花をかざろう,ja,31.406,2018-02-24,8.2,631
324786,Hacksaw Ridge,en,97.6,2016-10-07,8.196,13769
5156,Ladri di biciclette,it,22.83,1948-07-21,8.195,2411
361743,Top Gun: Maverick,en,163.21,2022-05-21,8.194,9318
284,The Apartment,en,25.042,1960-06-21,8.192,2313
